target,text
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif u oni
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,u dun say early hor u c already say
ham,nah think goes usf lives around though
spam,freemsg hey darling 3 weeks word back like fun still tb ok xxx std chgs send 150 rcv
ham,even brother like speak me treat like aids patent
ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
spam,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hours only
spam,mobile 11 months more u r entitled update latest colour mobiles camera free call mobile update co free 08002986030
ham,gonna home soon want talk stuff anymore tonight k cried enough today
spam,six chances win cash 100 20000 pounds txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info
spam,urgent 1 week free membership 100000 prize jackpot txt word claim no 81010 tc lccltd pobox 4403ldnw1a7rw18
ham,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,date sunday will
spam,xxxmobilemovieclub use credit click wap link next txt message click here
ham,oh kim watching here
ham,eh u remember 2 spell name yes did v naughty make v wet
ham,fine thats way u feel thats way gota b
spam,england v macedonia  dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txt120 poboxox36504w45wq 16
ham,seriously spell name
ham,im going try 2 months ha ha joking
ham,pay first lar da stock comin
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
ham,ffffffffff alright way meet sooner
ham,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
ham,lol always convincing
ham,catch bus  frying egg  make tea eating moms left dinner  feel love
ham,back amp packing car now let know theres room
ham,ahhh work vaguely remember that feel like lol
ham,wait thats still clear sure sarcastic thats x want live us
ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught that till 2 go there badly cheers you
ham,k tell anything you
ham,fear fainting housework did quick cuppa
spam,thanks subscription ringtone uk mobile charged 5month please confirm replying yes no reply charged
ham,yup ok go home look timings msg  again xuhui going learn 2nd may lesson 8am
ham,oops let know roommates done
ham,see letter b car
ham,anything lor u decide
ham,hello hows saturday go texting see decided anything tomo trying invite anything
ham,pls go ahead watts wanted sure great weekend abiola
ham,forget tell  want  need you crave   love sweet arabian steed  mmmmmm  yummy
spam,07732584351  rodger burns  msg  tried call reply sms free nokia mobile  free camcorder please call 08000930705 delivery tomorrow
ham,seeing
ham,great hope like man well endowed ltgt inches
ham,callsmessagesmissed calls
ham,get hep b immunisation nigeria
ham,fair enough anything going on
ham,yeah hopefully tyler cant could maybe ask around bit
ham,u know stubborn am even want go hospital kept telling mark weak sucker hospitals weak suckers
ham,thinked me first time saw class
ham,gram usually runs like ltgt  half eighth smarter though gets almost whole second gram ltgt
ham,k fyi x ride early tomorrow morning crashing place tonight
ham,wow never realized embarassed accomodations thought liked it since best could always seemed happy the cave sorry give sorry offered sorry room embarassing
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,know mallika sherawat yesterday find  lturlgt
spam,congrats 1 year special cinema pass 2 yours call 09061209465 now c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss out
ham,sorry call later meeting
ham,tell reached
ham,yesgauti sehwag odi series
ham,gonna pick 1 burger way home cant even move pain killing me
ham,ha ha ha good joke girls situation seekers
ham,part checking iq
ham,sorry roommates took forever ok come now
ham,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,valued customer pleased advise following recent review mob no awarded 1500 bonus prize call 09066364589
ham,today song dedicated day song u dedicate me send ur valuable frnds first rply me
spam,urgent ur awarded complimentary trip eurodisinc trav acoentry41 1000 claim txt dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,hear new divorce barbie comes kens stuff
ham,plane give month end
ham,wah lucky man save money hee
ham,finished class you
ham,hi babe im home wanna something xx
ham,kkwhere youhow performed
ham,u call now
ham,waiting machan call free
ham,thats cool gentleman treat dignity respect
ham,like peoples much shy pa
ham,operate ltgt
ham,here still looking job much tas earn there
ham,sorry call later
ham,k call ah
ham,ok way home hi hi
ham,place man
ham,yup next stop
ham,call later network urgnt sms me
ham,real u getting yo need 2 tickets one jacket done already used multis
ham,yes started send requests make pain came back back bed double coins factory too gotta cash nitros
ham,really still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah do dont stand close tho youll catch something
ham,sorry pain ok meet another night spent late afternoon casualty means done stuff42moro includes time sheets that sorry
ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling
spam,please call customer service representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize
ham,havent planning buy later check already lido got 530 show e afternoon u finish work already
spam,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
ham,watching telugu moviewat abt u
ham,see finish loads loans pay
ham,hi wk ok  hols now yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
ham,please text anymore nothing else say
ham,okay name ur price long legal wen pick up u ave x ams xx
ham,still looking car buy gone 4the driving test yet
ham,wow right mean that guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,umma life vava umma love lot dear
ham,thanks lot wishes birthday thanks making birthday truly memorable
ham,aight hit get cash
ham,would ip address test considering computer minecraft server
ham,know grumpy old people mom like better lying always one play jokes
ham,dont worry guess busy
ham,plural noun research
ham,going dinnermsg after
ham,ok wif cos like 2 try new things scared u dun like mah cos u said loud
spam,gent trying contact you last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm
